Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-9.400e-04,-4.12,-4.2
-9.381e-04,-4.04,-3.96
-9.362e-04,-4.12,-4.52
-9.342e-04,-4.28,-4.2
-9.323e-04,-4.44,-4.52
-9.304e-04,-4.36,-4.12
-9.285e-04,-4.2,-4.28
-9.266e-04,-4.12,-4.04
-9.246e-04,-4.12,-4.28
-9.227e-04,-4.2,-4.04
-9.208e-04,-4.2,-4.28
-9.189e-04,-4.2,-4.12
-9.170e-04,-4.2,-4.28
-9.150e-04,-4.04,-3.96
-9.131e-04,-4.12,-4.2
-9.112e-04,-4.12,-3.96
-9.093e-04,-4.04,-4.12
-9.074e-04,-4.04,-3.88
-9.054e-04,-3.96,-4.04
-9.035e-04,-3.96,-3.88
-9.016e-04,-3.96,-4.04
-8.997e-04,-3.96,-3.8
-8.978e-04,-3.96,-4.2
-8.958e-04,-3.96,-3.88
-8.939e-04,-4.12,-4.2
-8.920e-04,-4.12,-3.96
-8.901e-04,-4.04,-4.04
-8.882e-04,-3.88,-3.64
-8.862e-04,-3.8,-3.8
-8.843e-04,-3.64,-3.48
-8.824e-04,-3.64,-3.96
-8.805e-04,-3.72,-3.64
-8.786e-04,-3.88,-4.2
-8.766e-04,-4.04,-3.88
-8.747e-04,-4.12,-4.12
-8.728e-04,-3.96,-3.72
-8.709e-04,-3.8,-3.88
-8.690e-04,-3.8,-3.72
-8.670e-04,-3.8,-4.2
-8.651e-04,-3.8,-3.72
-8.632e-04,-4.04,-4.68
-8.613e-04,-4.28,-4.12
-8.594e-04,-4.6,-4.68
-8.574e-04,-4.6,-4.44
-8.555e-04,-4.52,-4.52
-8.536e-04,-4.36,-4.2
-8.517e-04,-4.28,-4.36
-8.498e-04,-4.2,-4.04
-8.478e-04,-4.12,-4.2
-8.459e-04,-4.04,-3.72
-8.440e-04,-3.88,-3.88
-8.421e-04,-3.64,-3.32
-8.402e-04,-3.48,-3.8
-8.382e-04,-3.48,-3.32
-8.363e-04,-3.64,-4.04
-8.344e-04,-3.8,-3.72
-8.325e-04,-3.96,-4.12
-8.306e-04,-4.04,-3.88
-8.286e-04,-4.04,-4.36
-8.267e-04,-4.2,-4.04
-8.248e-04,-4.28,-4.28
-8.229e-04,-4.2,-4.04
-8.210e-04,-4.12,-4.2
-8.190e-04,-4.12,-4.04
-8.171e-04,-4.12,-4.12
-8.152e-04,-3.96,-3.88
-8.133e-04,-3.96,-4.04
-8.114e-04,-3.88,-3.64
-8.094e-04,-3.72,-3.8
-8.075e-04,-3.64,-3.48
-8.056e-04,-3.56,-3.72
-8.037e-04,-3.48,-3.4
-8.018e-04,-3.56,-3.88
-7.998e-04,-3.72,-3.56
-7.979e-04,-3.8,-4.04
-7.960e-04,-3.88,-3.8
-7.941e-04,-3.96,-4.2
-7.922e-04,-4.04,-3.96
-7.902e-04,-4.04,-4.2
-7.883e-04,-4.12,-3.88
-7.864e-04,-3.96,-4.04
-7.845e-04,-3.88,-3.72
-7.825e-04,-3.8,-3.96
-7.806e-04,-3.8,-3.72
-7.787e-04,-3.88,-4.04
-7.768e-04,-3.96,-3.88
-7.749e-04,-3.96,-4.12
-7.729e-04,-4.04,-3.96
-7.710e-04,-4.04,-4.2
-7.691e-04,-4.12,-3.96
-7.672e-04,-4.12,-4.2
-7.653e-04,-4.12,-4.04
-7.633e-04,-4.12,-4.2
-7.614e-04,-4.12,-4.04
-7.595e-04,-4.12,-4.2
-7.576e-04,-4.12,-3.88
-7.557e-04,-4.04,-4.04
-7.537e-04,-3.88,-3.8
-7.518e-04,-3.88,-4.2
-7.499e-04,-3.96,-3.8
-7.480e-04,-4.12,-4.44
-7.461e-04,-4.28,-4.12
-7.441e-04,-4.36,-4.44
-7.422e-04,-4.36,-4.12
-7.403e-04,-4.2,-4.2
-7.384e-04,-4.12,-4.04
-7.365e-04,-4.12,-4.36
-7.345e-04,-4.2,-4.04
-7.326e-04,-4.28,-4.44
-7.307e-04,-4.36,-4.2
-7.288e-04,-4.36,-4.36
-7.269e-04,-4.2,-3.96
-7.249e-04,-4.04,-4.04
-7.230e-04,-3.96,-3.8
-7.211e-04,-3.88,-3.96
-7.192e-04,-3.8,-3.64
-7.173e-04,-3.72,-3.8
-7.153e-04,-3.64,-3.56
-7.134e-04,-3.72,-3.96
-7.115e-04,-3.88,-3.72
-7.096e-04,-3.88,-4.04
-7.077e-04,-3.96,-3.88
-7.057e-04,-3.96,-4.04
-7.038e-04,-3.88,-3.72
-7.019e-04,-3.8,-4.04
-7.000e-04,-3.96,-3.8
-6.981e-04,-3.88,-3.96
-6.961e-04,-3.8,-3.64
-6.942e-04,-3.72,-3.96
-6.923e-04,-3.72,-3.64
-6.904e-04,-3.8,-3.96
-6.885e-04,-3.88,-3.8
-6.865e-04,-3.88,-3.96
-6.846e-04,-3.8,-3.72
-6.827e-04,-3.8,-3.96
-6.808e-04,-3.8,-3.72
-6.789e-04,-3.88,-3.96
-6.769e-04,-3.8,-3.72
-6.750e-04,-3.8,-4.2
-6.731e-04,-3.88,-3.72
-6.712e-04,-4.12,-4.52
-6.693e-04,-4.2,-4.04
-6.673e-04,-4.36,-4.52
-6.654e-04,-4.44,-4.28
-6.635e-04,-4.36,-4.36
-6.616e-04,-4.28,-4.12
-6.597e-04,-4.2,-4.28
-6.577e-04,-4.2,-3.88
-6.558e-04,-4.04,-4.04
-6.539e-04,-3.88,-3.8
-6.520e-04,-3.88,-3.96
-6.501e-04,-3.8,-3.64
-6.481e-04,-3.72,-3.96
-6.462e-04,-3.8,-3.64
-6.443e-04,-3.88,-4.12
-6.424e-04,-4.04,-3.8
-6.405e-04,-3.96,-4.12
-6.385e-04,-4.04,-3.88
-6.366e-04,-3.96,-4.2
-6.347e-04,-4.04,-3.88
-6.328e-04,-4.12,-4.28
-6.309e-04,-4.2,-3.96
-6.289e-04,-4.12,-4.2
-6.270e-04,-4.04,-3.96
-6.251e-04,-4.04,-4.2
-6.232e-04,-4.12,-4.04
-6.213e-04,-4.12,-4.2
-6.193e-04,-4.12,-4.04
-6.174e-04,-4.12,-4.2
-6.155e-04,-4.04,-3.88
-6.136e-04,-4.12,-4.28
-6.117e-04,-4.2,-4.04
-6.097e-04,-4.2,-4.28
-6.078e-04,-4.12,-3.96
-6.059e-04,-4.12,-4.52
-6.040e-04,-4.28,-4.12
-6.021e-04,-4.44,-4.6
-6.001e-04,-4.52,-4.28
-5.982e-04,-4.44,-4.52
-5.963e-04,-4.36,-4.28
-5.944e-04,-4.44,-4.76
-5.925e-04,-4.6,-4.44
-5.905e-04,-4.68,-4.76
-5.886e-04,-4.52,-4.2
-5.867e-04,-4.36,-4.36
-5.848e-04,-4.2,-4.04
-5.829e-04,-4.12,-4.2
-5.809e-04,-4.12,-4.04
