Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-9.400e-04,-4.16,-4.24
-9.381e-04,-4.16,-4
-9.362e-04,-4.16,-4.48
-9.342e-04,-4.32,-4.16
-9.323e-04,-4.4,-4.48
-9.304e-04,-4.4,-4.32
-9.285e-04,-4.4,-4.48
-9.266e-04,-4.4,-4.24
-9.246e-04,-4.4,-4.48
-9.227e-04,-4.4,-4.32
-9.208e-04,-4.4,-4.48
-9.189e-04,-4.32,-4.16
-9.170e-04,-4.24,-4.24
-9.150e-04,-4.08,-4
-9.131e-04,-4.08,-4.32
-9.112e-04,-4.16,-4
-9.093e-04,-4.24,-4.32
-9.074e-04,-4.24,-4.08
-9.054e-04,-4.16,-4.24
-9.035e-04,-4.08,-3.76
-9.016e-04,-3.92,-3.92
-8.997e-04,-3.84,-3.76
-8.978e-04,-3.84,-3.92
-8.958e-04,-3.76,-3.68
-8.939e-04,-3.76,-3.84
-8.920e-04,-3.68,-3.6
-8.901e-04,-3.68,-4.08
-8.882e-04,-3.76,-3.6
-8.862e-04,-3.92,-4.24
-8.843e-04,-4.08,-4
-8.824e-04,-4.16,-4.24
-8.805e-04,-4.16,-4
-8.786e-04,-4.08,-4.24
-8.766e-04,-4.16,-3.92
-8.747e-04,-4,-4
-8.728e-04,-3.92,-3.68
-8.709e-04,-3.76,-3.92
-8.690e-04,-3.84,-3.68
-8.670e-04,-3.84,-4.32
-8.651e-04,-4,-3.84
-8.632e-04,-4.16,-4.32
-8.613e-04,-4.24,-4.16
-8.594e-04,-4.24,-4.32
-8.574e-04,-4.24,-4
-8.555e-04,-4.08,-4.16
-8.536e-04,-4,-3.92
-8.517e-04,-4,-4.24
-8.498e-04,-4,-3.92
-8.478e-04,-4.16,-4.64
-8.459e-04,-4.32,-4.16
-8.440e-04,-4.56,-4.72
-8.421e-04,-4.64,-4.48
-8.402e-04,-4.64,-4.72
-8.382e-04,-4.64,-4.48
-8.363e-04,-4.56,-4.64
-8.344e-04,-4.48,-4.24
-8.325e-04,-4.32,-4.32
-8.306e-04,-4.08,-3.92
-8.286e-04,-4,-4.32
-8.267e-04,-4.08,-3.92
-8.248e-04,-4.24,-4.56
-8.229e-04,-4.32,-4.16
-8.210e-04,-4.48,-4.56
-8.190e-04,-4.4,-4.24
-8.171e-04,-4.32,-4.4
-8.152e-04,-4.32,-4.24
-8.133e-04,-4.32,-4.4
-8.114e-04,-4.32,-4.16
-8.094e-04,-4.24,-4.32
-8.075e-04,-4.16,-4.08
-8.056e-04,-4.16,-4.24
-8.037e-04,-4.08,-3.92
-8.018e-04,-4,-4.08
-7.998e-04,-4,-3.84
-7.979e-04,-3.92,-4.32
-7.960e-04,-4,-3.84
-7.941e-04,-4.24,-4.48
-7.922e-04,-4.4,-4.24
-7.902e-04,-4.4,-4.4
-7.883e-04,-4.24,-4
-7.864e-04,-4.08,-4.16
-7.845e-04,-4.08,-3.92
-7.825e-04,-4.08,-4.16
-7.806e-04,-4.08,-4
-7.787e-04,-4.08,-4.4
-7.768e-04,-4.16,-4
-7.749e-04,-4.24,-4.4
-7.729e-04,-4.32,-4.24
-7.710e-04,-4.32,-4.32
-7.691e-04,-4.24,-4.08
-7.672e-04,-4.16,-4.32
-7.653e-04,-4.16,-4
-7.633e-04,-4.24,-4.4
-7.614e-04,-4.24,-4.16
-7.595e-04,-4.24,-4.32
-7.576e-04,-4.16,-4.08
-7.557e-04,-4.16,-4.32
-7.537e-04,-4.16,-4.08
-7.518e-04,-4.24,-4.4
-7.499e-04,-4.24,-4.16
-7.480e-04,-4.32,-4.32
-7.461e-04,-4.16,-3.92
-7.441e-04,-4,-4.24
-7.422e-04,-4.08,-3.92
-7.403e-04,-4.16,-4.4
-7.384e-04,-4.16,-4.08
-7.365e-04,-4.32,-4.56
-7.345e-04,-4.4,-4.24
-7.326e-04,-4.4,-4.4
-7.307e-04,-4.24,-4
-7.288e-04,-4.08,-4.08
-7.269e-04,-4,-3.84
-7.249e-04,-3.92,-4.16
-7.230e-04,-4,-3.92
-7.211e-04,-4.08,-4.48
-7.192e-04,-4.24,-4.08
-7.173e-04,-4.4,-4.48
-7.153e-04,-4.4,-4.16
-7.134e-04,-4.32,-4.32
-7.115e-04,-4.24,-4.08
-7.096e-04,-4.16,-4.24
-7.077e-04,-4.08,-3.84
-7.057e-04,-3.92,-4
-7.038e-04,-3.84,-3.76
-7.019e-04,-3.92,-4
-7.000e-04,-3.92,-3.84
-6.981e-04,-3.92,-4.16
-6.961e-04,-3.92,-3.84
-6.942e-04,-4,-4.24
-6.923e-04,-4.16,-4
-6.904e-04,-4.08,-4.16
-6.885e-04,-4.08,-3.92
-6.865e-04,-4,-4.24
-6.846e-04,-4.08,-3.92
-6.827e-04,-4.08,-4.4
-6.808e-04,-4.24,-4.08
-6.789e-04,-4.32,-4.48
-6.769e-04,-4.4,-4.24
-6.750e-04,-4.4,-4.48
-6.731e-04,-4.32,-4.24
-6.712e-04,-4.32,-4.4
-6.693e-04,-4.32,-4.24
-6.673e-04,-4.32,-4.32
-6.654e-04,-4.24,-4
-6.635e-04,-4.08,-4.24
-6.616e-04,-4.16,-4
-6.597e-04,-4.16,-4.32
-6.577e-04,-4.16,-4.08
-6.558e-04,-4.16,-4.24
-6.539e-04,-4.08,-4
-6.520e-04,-4.08,-4.24
-6.501e-04,-4.08,-4
-6.481e-04,-4.16,-4.56
-6.462e-04,-4.32,-4.16
-6.443e-04,-4.48,-4.56
-6.424e-04,-4.48,-4.4
-6.405e-04,-4.48,-4.48
-6.385e-04,-4.4,-4.24
-6.366e-04,-4.4,-4.4
-6.347e-04,-4.32,-4.16
-6.328e-04,-4.32,-4.48
-6.309e-04,-4.32,-4.24
-6.289e-04,-4.4,-4.64
-6.270e-04,-4.48,-4.32
-6.251e-04,-4.56,-4.8
-6.232e-04,-4.56,-4.48
-6.213e-04,-4.72,-4.8
-6.193e-04,-4.64,-4.56
-6.174e-04,-4.64,-4.64
-6.155e-04,-4.56,-4.4
-6.136e-04,-4.48,-4.56
-6.117e-04,-4.48,-4.32
-6.097e-04,-4.4,-4.48
-6.078e-04,-4.4,-4.24
-6.059e-04,-4.32,-4.48
-6.040e-04,-4.32,-4.16
-6.021e-04,-4.4,-4.64
-6.001e-04,-4.48,-4.32
-5.982e-04,-4.48,-4.64
-5.963e-04,-4.56,-4.4
-5.944e-04,-4.48,-4.48
-5.925e-04,-4.4,-4.24
-5.905e-04,-4.4,-4.48
-5.886e-04,-4.32,-4.24
-5.867e-04,-4.4,-4.48
-5.848e-04,-4.4,-4.32
-5.829e-04,-4.4,-4.4
-5.809e-04,-4.32,-4.16
-5.790e-04,-4.24,-4.24
-5.771e-04,-4.16,-3.92
-5.752e-04,-4,-4
-5.733e-04,-3.92,-3.76
